Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric",106.000000,-117.000000,180.000000,top
"C2","100n","C_1206_3216Metric",138.500000,-117.000000,180.000000,top
"C3","100n","C_1206_3216Metric",104.000000,-126.000000,180.000000,top
"C4","100n","C_1206_3216Metric",136.250000,-126.000000,180.000000,top
"C5","220p","C_1206_3216Metric",97.500000,-122.250000,180.000000,top
"C6","220p","C_1206_3216Metric",112.500000,-122.250000,180.000000,top
"C7","220p","C_1206_3216Metric",129.500000,-122.250000,180.000000,top
"C8","220p","C_1206_3216Metric",145.500000,-122.250000,180.000000,top
"D1","SMF6.0CA","D_SOD-123F",97.500000,-128.250000,0.000000,top
"D2","SMF6.0CA","D_SOD-123F",112.500000,-128.250000,0.000000,top
"D3","SMF6.0CA","D_SOD-123F",129.500000,-128.250000,0.000000,top
"D4","SMF6.0CA","D_SOD-123F",145.500000,-128.250000,0.000000,top
"R1","100R","R_1206_3216Metric",97.500000,-125.250000,180.000000,top
"R2","100R","R_1206_3216Metric",112.500000,-125.250000,0.000000,top
"R3","100R","R_1206_3216Metric",129.500000,-125.250000,180.000000,top
"R4","100R","R_1206_3216Metric",145.500000,-125.250000,0.000000,top
"R5","2M2","R_1206_3216Metric",105.000000,-130.250000,90.000000,top
"R6","2M2","R_1206_3216Metric",137.500000,-130.250000,90.000000,top
"R7","47K","R_1206_3216Metric",102.000000,-130.250000,270.000000,top
"R8","47K","R_1206_3216Metric",108.000000,-130.250000,90.000000,top
"R9","47K","R_1206_3216Metric",134.500000,-130.250000,270.000000,top
"R10","47K","R_1206_3216Metric",140.500000,-130.250000,90.000000,top
"U1","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",105.000000,-121.500000,0.000000,top
"U2","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",137.500000,-121.500000,0.000000,top
